16/11/06 15:44:43 INFO myLogger: [UnionRDD]StartAt:6992531144767,TaskAttempt ID:140,Partition Id:3,Stage Id:10
16/11/06 15:44:43 INFO myLogger: [MapPartitionsRDD]StartAt:6992532235823,TaskAttempt ID:140,Partition Id:3,Stage Id:10
16/11/06 15:44:43 INFO myLogger: [ShuffledRDD]StartAt:6992532584629,TaskAttempt ID:140,Partition Id:3,Stage Id:10
16/11/06 15:44:43 INFO myLogger: [UnionRDD]StartAt:6992535172106,TaskAttempt ID:144,Partition Id:11,Stage Id:10
16/11/06 15:44:43 INFO myLogger: [MapPartitionsRDD]StartAt:6992537060513,TaskAttempt ID:144,Partition Id:11,Stage Id:10
16/11/06 15:44:43 INFO myLogger: [ShuffledRDD]StartAt:6992537669638,TaskAttempt ID:144,Partition Id:11,Stage Id:10
16/11/06 15:44:43 INFO myLogger: [ShuffledRDD]EndAt:6992567264342,TaskAttempt ID:144,Partition Id:11,Stage Id:10
16/11/06 15:44:43 INFO myLogger: [MapPartitionsRDD]EndAt:6992567971657,TaskAttempt ID:144,Partition Id:11,Stage Id:10
16/11/06 15:44:43 INFO myLogger: [ShuffledRDD]EndAt:6992569775218,TaskAttempt ID:140,Partition Id:3,Stage Id:10
16/11/06 15:44:43 INFO myLogger: [MapPartitionsRDD]EndAt:6992570254742,TaskAttempt ID:140,Partition Id:3,Stage Id:10
16/11/06 15:45:49 INFO myLogger: [UnionRDD]EndAt:7058530267913,TaskAttempt ID:144,Partition Id:11,Stage Id:10
16/11/06 15:46:07 INFO myLogger: [UnionRDD]EndAt:7076753804437,TaskAttempt ID:140,Partition Id:3,Stage Id:10
16/11/06 15:46:27 INFO myLogger: [UnionRDD]StartAt:7096224536016,TaskAttempt ID:155,Partition Id:3,Stage Id:11
16/11/06 15:46:27 INFO myLogger: [MapPartitionsRDD]StartAt:7096225594392,TaskAttempt ID:155,Partition Id:3,Stage Id:11
16/11/06 15:46:27 INFO myLogger: [ShuffledRDD]StartAt:7096225952468,TaskAttempt ID:155,Partition Id:3,Stage Id:11
16/11/06 15:46:27 INFO myLogger: [UnionRDD]StartAt:7096229524059,TaskAttempt ID:159,Partition Id:11,Stage Id:11
16/11/06 15:46:27 INFO myLogger: [MapPartitionsRDD]StartAt:7096231426189,TaskAttempt ID:159,Partition Id:11,Stage Id:11
16/11/06 15:46:27 INFO myLogger: [ShuffledRDD]StartAt:7096232173170,TaskAttempt ID:159,Partition Id:11,Stage Id:11
16/11/06 15:46:27 INFO myLogger: [ShuffledRDD]EndAt:7096255496869,TaskAttempt ID:159,Partition Id:11,Stage Id:11
16/11/06 15:46:27 INFO myLogger: [MapPartitionsRDD]EndAt:7096256229460,TaskAttempt ID:159,Partition Id:11,Stage Id:11
16/11/06 15:46:27 INFO myLogger: [ShuffledRDD]EndAt:7096261485223,TaskAttempt ID:155,Partition Id:3,Stage Id:11
16/11/06 15:46:27 INFO myLogger: [MapPartitionsRDD]EndAt:7096262578525,TaskAttempt ID:155,Partition Id:3,Stage Id:11
16/11/06 15:46:31 INFO myLogger: [UnionRDD]EndAt:7100282751825,TaskAttempt ID:159,Partition Id:11,Stage Id:11
16/11/06 15:46:46 INFO myLogger: [UnionRDD]EndAt:7115398811169,TaskAttempt ID:155,Partition Id:3,Stage Id:11
16/11/06 15:47:54 INFO myLogger: [UnionRDD]StartAt:7183658357095,TaskAttempt ID:171,Partition Id:3,Stage Id:12
